,Country,"Globalisation Index, overall",population,Region,"est victims per 1,000",est slavery population,gov resp,Credit rating,Country Code,KOF
0,Switzerland,91.19,"8,320,000",Europe and Central Asia,1.7,"14,000",60.0,BBB,CHE,129383657783.44301
1,Netherlands,90.71,"16,938,000",Europe and Central Asia,1.8,"30,000",75.2,A,NLD,96255613555.2639
2,Belgium,90.59,"11,288,000",Europe and Central Asia,2.0,"23,000",68.3,BBB,BEL,-36143116556.5224
3,Sweden,89.93,"9,764,000",Europe and Central Asia,1.6,"15,000",68.7,BBB,SWE,26347927028.2056
4,United Kingdom,89.84,"65,397,000",Europe and Central Asia,2.1,"136,000",71.5,BBB*,GBR,121254600398.25699
5,Austria,88.85,"8,679,000",Europe and Central Asia,1.7,"15,000",63.1,BBB,AUT,13520042221.9993
6,Germany,88.6,"81,708,000",Europe and Central Asia,2.0,"167,000",57.1,BB,DEU,118225590102.64801
7,Denmark,88.26,"5,689,000",Europe and Central Asia,1.6,"9,000",58.6,BB,DNK,3376912366.96593
8,Finland,87.7,"5,482,000",Europe and Central Asia,1.7,"9,000",57.9,BB,FIN,16393910939.5675
9,France,87.25,"64,457,000",Europe and Central Asia,2.0,"129,000",61.5,BBB,FRA,37559363019.0513
10,Norway,86.17,"5,200,000",Europe and Central Asia,1.8,"9,000",66.8,BBB,NOR,5900604723.7885895
11,Spain,85.7,"46,398,000",Europe and Central Asia,2.3,"105,000",66.9,BBB,ESP,24978595612.8996
12,Czech Republic,85.6,"10,604,000",Europe and Central Asia,2.9,"31,000",52.9,BB,CZE,11234740946.0941
13,Hungary,84.98,"9,784,000",Europe and Central Asia,3.7,"36,000",58.2,BB,HUN,-12174325328.2763
14,Portugal,84.72,"10,418,000",Europe and Central Asia,2.5,"26,000",66.3,BBB,PRT,10663828803.4562
15,Canada,84.64,"35,950,000",Americas,0.5,"17,000",58.6,BB,CAN,29109803320.4342
16,Ireland,84.47,"4,700,000",Europe and Central Asia,1.7,"8,000",57.7,BB,IRL,58300808407.7812
17,Estonia,83.77,"1,315,000",Europe and Central Asia,3.6,"5,000",48.8,B,EST,1703867592.55708
18,Singapore,83.62,"5,535,000",Asia and the Pacific,3.4,"19,000",32.8,CCC,SGP,97766497094.3389
19,Luxembourg,83.6,"567,000",Europe and Central Asia,1.5,"<1,000",45.4,B,LUX,-6798512508.4517
20,Italy,83.37,"59,504,000",Europe and Central Asia,2.4,"145,000",62.0,BBB,ITA,11138429977.1854
21,United States,82.41,"319,929,000",Americas,1.3,"403,000",71.7,BBB*,USA,354649000000.0
22,Greece,82.38,"11,218,000",Europe and Central Asia,7.9,"89,000",55.1,BB,GRC,3439131879.75518
23,Australia,81.99,"23,800,000",Asia and the Pacific,0.6,"15,000",63.8,BBB,AUS,47541126471.9733
24,Malaysia,81.49,"30,723,000",Asia and the Pacific,6.9,"212,000",38.4,CCC,MYS,9368469822.661459
25,Croatia,81.42,"4,236,000",Europe and Central Asia,6.0,"25,000",68.2,BBB,HRV,476823315.60037196
26,Lithuania,81.34,"2,932,000",Europe and Central Asia,5.8,"17,000",59.1,BB,LTU,1191438300.52159
27,Poland,81.33,"38,265,000",Europe and Central Asia,3.4,"128,000",53.9,BB,POL,11762000000.0
28,Slovenia,81.14,"2,075,000",Europe and Central Asia,2.2,"5,000",59.6,BB,SVN,1196228604.69281
29,Bulgaria,80.78,"7,177,000",Europe and Central Asia,4.5,"32,000",55.8,BB,BGR,2020340000.0
30,Latvia,80.57,"1,993,000",Europe and Central Asia,3.9,"8,000",60.9,BBB,LVA,1136438829.79794
31,Romania,79.74,"19,877,000",Europe and Central Asia,4.3,"86,000",43.9,B,ROU,5952909608.10492
