,Country,Country Code,2017
0,Aruba,ABW,162463551.517038
1,Afghanistan,AFG,51533896.765
2,Angola,AGO,-7397295409.189909
3,Albania,ALB,1022757857.0737699
4,Andorra,AND,
5,Arab World,ARB,30068580491.0088
6,United Arab Emirates,ARE,10354223000.0
7,Argentina,ARG,11516861462.2845
8,Armenia,ARM,250935110.23913902
9,American Samoa,ASM,
10,Antigua and Barbuda,ATG,156934594.922172
11,Australia,AUS,47541126471.9733
12,Austria,AUT,13520042221.9993
13,Azerbaijan,AZE,2867487000.0
14,Burundi,BDI,316473.449369742
15,Belgium,BEL,-36143116556.5224
16,Benin,BEN,134502871.197888
17,Burkina Faso,BFA,2572690.32188177
18,Bangladesh,BGD,1810395803.56746
19,Bulgaria,BGR,2020340000.0
20,Bahrain,BHR,518882978.723404
21,"Bahamas, The",BHS,304587573.117333
22,Bosnia and Herzegovina,BIH,464142734.223779
23,Belarus,BLR,1276300000.0
24,Belize,BLZ,25637115.5013862
25,Bermuda,BMU,-288109270.997092
26,Bolivia,BOL,712474137.775022
27,Brazil,BRA,68885072605.58
28,Barbados,BRB,286157362.7436
29,Brunei Darussalam,BRN,467927550.316567
30,Bhutan,BTN,-16553759.952549301
31,Botswana,BWA,177114236.206951
32,Central African Republic,CAF,6871735.8718
33,Canada,CAN,29109803320.4342
34,Central Europe and the Baltics,CEB,28726043843.4249
35,Switzerland,CHE,129383657783.44301
36,Channel Islands,CHI,
37,Chile,CHL,5852183238.92468
38,China,CHN,166083755721.64902
39,Cote d'Ivoire,CIV,975014998.795493
40,Cameroon,CMR,814458940.927625
41,"Congo, Dem. Rep.",COD,1047979482.55526
42,"Congo, Rep.",COG,4406043657.3405
43,Colombia,COL,13836696227.15
44,Comoros,COM,3919473.02500831
45,Cabo Verde,CPV,111711633.73813999
46,Costa Rica,CRI,2856006597.34999
47,Caribbean small states,CSS,2022644041.2643
48,Cuba,CUB,
49,Curacao,CUW,172681564.24581
50,Cayman Islands,CYM,3609446381.88845
51,Cyprus,CYP,18360048657.1823
52,Czech Republic,CZE,11234740946.0941
53,Germany,DEU,118225590102.64801
54,Djibouti,DJI,164933603.421112
55,Dominica,DMA,24103787.493769
56,Denmark,DNK,3376912366.96593
57,Dominican Republic,DOM,3597900000.0
58,Algeria,DZA,1200965279.93224
59,East Asia & Pacific (excluding high income),EAP,239160694111.41397
60,Early-demographic dividend,EAR,212174427057.33398
61,East Asia & Pacific,EAS,554133876231.667
62,Europe & Central Asia (excluding high income),ECA,65239627899.1441
63,Europe & Central Asia,ECS,776102461634.695
64,Ecuador,ECU,624545412.259196
65,"Egypt, Arab Rep.",EGY,7408700000.0
66,Euro area,EMU,379330815554.35706
67,Eritrea,ERI,55468000.0
68,Spain,ESP,24978595612.8996
69,Estonia,EST,1703867592.55708
70,Ethiopia,ETH,4017159564.65434
71,European Union,EUU,428328143491.052
72,Fragile and conflict affected situations,FCS,15329722921.943998
73,Finland,FIN,16393910939.5675
74,Fiji,FJI,387602565.30544597
75,France,FRA,37559363019.0513
76,Faroe Islands,FRO,
77,"Micronesia, Fed. Sts.",FSM,
78,Gabon,GAB,1498038420.0471
79,United Kingdom,GBR,121254600398.25699
80,Georgia,GEO,1902468436.8
81,Ghana,GHA,3254990000.0
82,Gibraltar,GIB,
83,Guinea,GIN,577590000.0
84,"Gambia, The",GMB,5445631.48903737
85,Guinea-Bissau,GNB,15652439.964706302
86,Equatorial Guinea,GNQ,304074312.3261
87,Greece,GRC,3439131879.75518
88,Grenada,GRD,138812161.45886
89,Greenland,GRL,
90,Guatemala,GTM,998344470.0
91,Guam,GUM,
92,Guyana,GUY,327343651.21783
93,High income,HIC,1522782211410.63
94,"Hong Kong SAR, China",HKG,125716724339.795
95,Honduras,HND,949955941.5177801
96,Heavily indebted poor countries (HIPC),HPC,28925875907.3895
97,Croatia,HRV,476823315.60037196
98,Haiti,HTI,374855000.0
99,Hungary,HUN,-12174325328.2763
100,IBRD only,IBD,523978434566.63104
101,IDA & IBRD total,IBT,573336244664.099
102,IDA total,IDA,49357810097.4674
103,IDA blend,IDB,14956731767.2978
104,Indonesia,IDN,20510310832.4469
105,IDA only,IDX,34401078330.1697
106,Isle of Man,IMN,
107,India,IND,39966091358.7384
108,Not classified,INX,
109,Ireland,IRL,58300808407.7812
110,"Iran, Islamic Rep.",IRN,5019000000.0
111,Iraq,IRQ,-5032400000.0
112,Iceland,ISL,-6999892980.93709
113,Israel,ISR,18168900000.0
114,Italy,ITA,11138429977.1854
115,Jamaica,JAM,888835228.478601
116,Jordan,JOR,2029718309.85915
117,Japan,JPN,18802251208.1069
