,Unnamed: 0,Country Name,Country Code,2017,total_population,Region,Victims_per_1000_population,Est. number of people in modern slavery,Factor One Governance Issues,Factor Two Nourishment and Access,Factor Three Inequality,Factor Four Disenfranchised Groups,Factor Five Effects of Conflict,"Final overall (normalised, weighted) vulnerability score",Support survivors,%,Criminal justice,%.1,Coordination,%.2,NEG Government  complicity (1.4.3),NEG State-imposed forced labour (1.8.1),Address risk,%.3,Supply chains,%.4,SUM/104,SUM Neg,TOTAL,Credit rating,HDI_Rank,Education_Access_Score,gdp_2017,gdp_per_capita
0,2,Angola,AGO,-7397295409.189909,27859000.0,Africa,7.2,199000.0,60.2,43.4,48.2,48.5,19.8,62.3,2.8,31.5,0.8,13.9,1.8,43.8,-1.0,0.0,3.8,54.8,0.0,0.0,9.3,-1.0,29.5,CC,149.0,0.474212067,122124000000.0,4384.0
1,3,Albania,ALB,1022757857.0737699,2923000.0,Europe and Central Asia,6.9,20000.0,46.0,20.7,44.3,48.4,27.0,45.2,6.6,72.8,3.8,63.3,2.8,68.8,-1.0,0.0,4.7,66.7,0.0,0.0,17.8,-1.0,59.9,BB,95.0,0.608519363,13019693451.0,4454.0
2,6,United Arab Emirates,ARE,10354223000.0,9154000.0,Arab States,1.7,15000.0,47.9,15.1,24.7,7.8,11.9,26.8,5.7,63.0,2.5,41.1,2.3,56.3,0.0,0.0,3.0,42.9,0.0,0.0,13.4,0.0,47.8,B,40.0,0.673214954,385606000000.0,42124.0
3,7,Argentina,ARG,11516861462.2845,43418000.0,Americas,1.3,55000.0,39.3,11.4,45.0,23.6,13.4,28.9,6.3,70.0,4.2,70.6,2.5,62.5,-1.0,0.0,5.5,78.6,0.0,0.0,18.5,-1.0,62.6,BBB,49.0,0.783355597,642696000000.0,14803.0
4,8,Armenia,ARM,250935110.23913905,2917000.0,Europe and Central Asia,5.3,16000.0,51.1,18.9,33.8,46.3,22.1,43.6,4.9,54.6,3.1,51.1,2.3,56.3,0.0,0.0,4.7,66.7,0.0,0.0,14.9,0.0,53.2,BB,87.0,0.701366667,11527458566.0,3952.0
5,11,Australia,AUS,47541126471.9733,23800000.0,Asia and the Pacific,0.6,15000.0,11.9,15.7,20.7,12.0,13.0,4.3,6.3,69.6,4.5,75.0,2.3,56.3,0.0,0.0,4.8,69.0,0.0,0.0,17.9,0.0,63.8,BBB,2.0,0.92653552,1330140000000.0,55888.0
6,12,Austria,AUT,13520042221.9993,8679000.0,Europe and Central Asia,1.7,15000.0,12.6,12.2,18.2,23.5,3.1,3.4,6.6,72.8,3.7,61.1,2.8,68.8,0.0,0.0,4.3,61.9,0.4,18.3,17.7,0.0,63.1,BBB,21.0,0.794481027,418316000000.0,48199.0
7,13,Azerbaijan,AZE,2867487000.0,9617000.0,Europe and Central Asia,4.5,43000.0,60.3,21.2,23.9,35.7,32.5,47.8,2.5,28.0,4.3,71.7,2.5,62.5,0.0,0.0,4.2,59.5,0.0,0.0,13.5,0.0,48.2,B,76.0,0.699777778,40865558912.0,4249.0
8,14,Burundi,BDI,316473.449369742,10199000.0,Africa,40.0,408000.0,72.4,42.6,42.1,48.1,41.7,72.9,2.0,22.2,0.7,11.1,0.5,12.5,-1.0,-1.0,1.8,26.2,0.0,0.0,5.0,-2.0,10.7,C,180.0,0.370088889,3172292379.0,311.0
9,15,Belgium,BEL,-36143116556.5224,11288000.0,Europe and Central Asia,2.0,23000.0,20.0,15.0,29.9,19.3,12.3,13.1,6.5,72.2,3.2,53.9,3.5,87.5,0.0,0.0,5.2,73.8,0.7,36.7,19.1,0.0,68.3,BBB,21.0,0.812291688,503789000000.0,44630.0
10,16,Benin,BEN,134502871.197888,10576000.0,Africa,5.5,58000.0,51.1,28.8,39.9,35.3,15.8,45.0,2.8,30.6,1.9,31.7,2.3,56.3,0.0,0.0,3.7,52.4,0.0,0.0,10.6,0.0,37.7,CCC,165.0,0.413555556,12701656931.0,1201.0
11,17,Burkina Faso,BFA,2572690.32188177,18111000.0,Africa,4.5,82000.0,58.4,31.6,40.3,35.2,26.2,53.1,3.4,38.1,1.8,30.0,1.8,43.8,0.0,0.0,3.0,42.9,0.0,0.0,10.0,0.0,35.7,CCC,181.0,0.250033333,14169905602.0,782.0
12,18,Bangladesh,BGD,1810395803.56746,161201000.0,Asia and the Pacific,3.7,592000.0,54.1,38.4,25.7,20.9,45.3,50.0,3.9,43.1,3.8,63.3,2.8,68.8,-1.0,0.0,3.0,42.9,0.0,0.0,13.4,-1.0,44.4,B,142.0,0.446880445,249711000000.0,1549.0
13,19,Bulgaria,BGR,2020340000.0,7177000.0,Europe and Central Asia,4.5,32000.0,33.0,14.7,43.3,44.1,17.4,31.3,5.4,59.8,3.0,49.4,2.3,56.3,0.0,0.0,4.7,66.7,0.4,18.3,15.6,0.0,55.8,BB,58.0,0.749407205,58950125036.0,8214.0
14,20,Bahrain,BHR,518882978.723404,1372000.0,Arab States,1.9,3000.0,63.0,25.8,34.5,24.0,25.4,49.6,5.0,55.2,2.2,37.2,0.8,18.8,-1.0,0.0,2.2,31.0,0.0,0.0,10.1,-1.0,32.6,CCC,44.0,0.713966667,35423643617.0,25819.0
15,22,Bosnia and Herzegovina,BIH,464142734.223779,3536000.0,Europe and Central Asia,3.4,12000.0,52.0,16.4,31.7,50.7,34.1,46.4,5.4,60.2,2.9,47.8,1.0,25.0,-1.0,0.0,5.3,76.2,0.0,0.0,14.6,-1.0,48.6,B,86.0,0.655318208,18080118128.0,5113.0
16,23,Belarus,BLR,1276300000.0,9486000.0,Europe and Central Asia,10.9,103000.0,64.9,16.7,23.9,39.4,20.8,47.3,4.4,48.9,1.7,27.8,1.5,37.5,0.0,-1.0,4.7,66.7,0.0,0.0,12.2,-1.0,40.1,B,53.0,0.819984164,54726595249.0,5769.0
17,27,Brazil,BRA,68885072605.58,205962000.0,Americas,1.8,369000.0,43.1,13.6,56.2,19.8,24.0,36.4,3.5,38.9,2.9,47.8,3.5,87.5,0.0,0.0,5.2,73.8,0.5,26.7,15.6,0.0,55.6,BB,79.0,0.661305629,2062830000000.0,10016.0
18,28,Barbados,BRB,286157362.7436,284000.0,Americas,2.7,1000.0,47.6,14.3,52.5,47.8,9.2,41.9,4.8,53.3,1.6,26.1,1.5,37.5,0.0,0.0,3.2,45.2,0.0,0.0,11.0,0.0,39.4,CCC,59.0,0.739777778,4978000000.0,17528.0
19,29,Brunei Darussalam,BRN,467927550.316567,418000.0,Asia and the Pacific,10.9,5000.0,53.5,30.9,31.7,41.2,18.2,47.2,1.6,17.8,1.2,19.4,0.0,0.0,0.0,0.0,3.0,42.9,0.0,0.0,5.8,0.0,20.6,CC,30.0,0.692111111,12128104859.0,29015.0
20,31,Botswana,BWA,177114236.206951,2209000.0,Africa,3.4,8000.0,43.3,37.9,37.3,37.6,9.7,42.1,2.9,32.2,2.7,45.6,1.5,37.5,-1.0,0.0,3.2,45.2,0.0,0.0,10.3,-1.0,33.2,CCC,109.0,0.619,17405538618.0,7879.0
21,32,Central African Republic,CAF,6871735.8718,4546000.0,Africa,22.3,101000.0,85.4,50.2,62.7,58.0,81.6,100.0,-0.3,-3.7,0.0,0.6,0.5,12.5,-1.0,0.0,1.5,21.4,0.0,0.0,1.7,-1.0,2.5,D,185.0,0.317866667,2072350151.0,456.0
22,33,Canada,CAN,29109803320.4342,35950000.0,Americas,0.5,17000.0,16.6,20.7,20.1,9.2,21.5,10.2,4.7,52.4,4.4,72.8,3.0,75.0,0.0,0.0,4.3,61.9,0.0,0.0,16.4,0.0,58.6,BB,8.0,0.8503,1649880000000.0,45894.0
23,35,Switzerland,CHE,129383657783.443,8320000.0,Europe and Central Asia,1.7,14000.0,11.6,12.2,15.2,20.1,4.9,1.5,6.0,66.7,3.6,60.6,1.5,37.5,0.0,0.0,5.7,81.0,0.0,0.0,16.8,0.0,60.0,BBB,3.0,0.844089209,679950000000.0,81725.0
24,37,Chile,CHL,5852183238.92468,17763000.0,Americas,0.8,14000.0,28.5,13.8,50.0,23.5,20.3,25.6,6.9,76.5,3.2,53.9,2.0,50.0,0.0,0.0,5.3,76.2,0.0,0.0,17.5,0.0,62.3,BBB,41.0,0.745675257,277045000000.0,15597.0
25,38,China,CHN,166083755721.64902,1397029000.0,Asia and the Pacific,2.8,3864000.0,61.4,20.5,26.9,32.4,44.2,50.6,2.1,23.5,1.8,29.4,1.8,43.8,-1.0,-1.0,3.7,52.4,0.4,18.3,9.7,-2.0,27.4,CC,91.0,0.609666667,12310400000000.0,8812.0
26,40,Cameroon,CMR,814458940.927625,22835000.0,Africa,6.9,157000.0,65.9,36.5,46.2,46.3,53.9,69.6,2.4,26.7,1.5,24.4,0.8,18.8,-1.0,0.0,3.5,50.0,0.0,0.0,8.1,-1.0,25.4,CC,152.0,0.485788889,35009262788.0,1533.0
27,43,Colombia,COL,13836696227.15,48229000.0,Americas,2.7,131000.0,45.7,19.2,56.4,32.6,63.5,51.6,3.6,40.4,2.5,42.2,2.5,62.5,-1.0,-1.0,4.8,69.0,0.0,0.0,13.5,-2.0,41.1,B,98.0,0.602222411,311884000000.0,6467.0
28,46,Costa Rica,CRI,2856006597.34999,4808000.0,Americas,1.3,6000.0,35.2,16.7,40.7,29.4,12.2,28.4,4.8,53.7,2.5,41.7,2.5,62.5,0.0,0.0,4.2,59.5,0.0,0.0,14.0,0.0,50.0,BB,68.0,0.653921604,58481858043.0,12163.0
30,51,Cyprus,CYP,18360048657.1823,1161000.0,Europe and Central Asia,4.2,5000.0,24.5,16.7,32.6,29.7,10.1,19.1,6.1,68.1,4.7,77.8,2.3,56.3,0.0,0.0,4.3,61.9,0.4,18.3,17.8,0.0,63.4,BBB,32.0,0.776198377,22638608224.0,19499.0
