,Country,gdp_per_capita,victims_per_1000_population,gdp_per_capita2
0,Burundi,311.0,40.0,96721.0
1,Central African Republic,456.0,22.3,207936.0
3,Mauritania,1616.0,21.4,2611456.0
4,Pakistan,1608.0,16.8,2585664.0
5,Cambodia,1429.0,16.8,2042041.0
6,Mongolia,3838.0,12.3,14730244.0
7,Sudan,1174.0,12.0,1378276.0
8,Chad,714.0,12.0,509796.0
9,Rwanda,796.0,11.6,633616.0
10,Turkmenistan,6815.0,11.2,46444225.0
11,Myanmar,1316.0,11.0,1731856.0
12,Brunei Darussalam,29015.0,10.9,841870225.0
13,Belarus,5769.0,10.9,33281361.0
14,Papua New Guinea,2872.0,10.3,8248384.0
15,Thailand,6646.0,8.9,44169316.0
16,Greece,18148.0,7.9,329349904.0
17,Guinea,855.0,7.8,731025.0
18,Libya,6076.0,7.7,36917776.0
19,Philippines,3229.0,7.7,10426441.0
20,Timor-Leste,1297.0,7.7,1682209.0
21,Nigeria,2074.0,7.7,4301476.0
22,Uganda,766.0,7.6,586756.0
23,Madagascar,544.0,7.5,295936.0
24,Malawi,359.0,7.5,128881.0
25,Guinea-Bissau,760.0,7.5,577600.0
26,Liberia,730.0,7.4,532900.0
27,Angola,4384.0,7.2,19219456.0
28,Djibouti,2968.0,7.1,8809024.0
29,Kenya,1672.0,6.9,2795584.0
30,Malaysia,10382.0,6.9,107785924.0
31,Albania,4454.0,6.9,19838116.0
32,Cameroon,1533.0,6.9,2350089.0
33,Togo,650.0,6.8,422500.0
34,Niger,561.0,6.7,314721.0
35,Zimbabwe,1397.0,6.7,1951609.0
36,Turkey,10894.0,6.5,118679236.0
37,Ukraine,2512.0,6.4,6310144.0
38,Equatorial Guinea,10384.0,6.4,107827456.0
39,Ethiopia,819.0,6.1,670761.0
40,India,2026.0,6.1,4104676.0
41,Croatia,13059.0,6.0,170537481.0
42,Nepal,879.0,6.0,772641.0
43,Montenegro,7733.0,5.9,59799289.0
44,Lithuania,16286.0,5.8,265233796.0
45,Zambia,1607.0,5.7,2582449.0
46,Haiti,785.0,5.6,616225.0
47,Russian Federation,10940.0,5.5,119683600.0
48,Benin,1201.0,5.5,1442401.0
49,Mozambique,472.0,5.4,222784.0
50,Armenia,3952.0,5.3,15618304.0
51,Uzbekistan,1910.0,5.2,3648100.0
52,Sierra Leone,517.0,5.0,267289.0
53,Ghana,2139.0,4.8,4575321.0
55,Gabon,7735.0,4.8,59830225.0
56,Indonesia,3934.0,4.7,15476356.0
57,Tajikistan,837.0,4.5,700569.0
58,Burkina Faso,782.0,4.5,611524.0
59,Bulgaria,8214.0,4.5,67469796.0
60,Azerbaijan,4249.0,4.5,18054001.0
61,Georgia,4110.0,4.3,16892100.0
62,Romania,10650.0,4.3,113422500.0
63,Cyprus,19499.0,4.2,380211001.0
64,Kazakhstan,9398.0,4.2,88322404.0
65,Lesotho,1106.0,4.2,1223236.0
66,Dominican Republic,7599.0,4.0,57744801.0
67,Kosovo,3804.0,4.0,14470416.0
68,Latvia,15190.0,3.9,230736100.0
69,Israel,43801.0,3.9,1918527601.0
70,Cuba,8450.0,3.8,71402500.0
71,Bangladesh,1549.0,3.7,2399401.0
72,Hungary,14464.0,3.7,209207296.0
73,Estonia,20425.0,3.6,417180625.0
74,Mali,880.0,3.6,774400.0
75,Botswana,7879.0,3.4,62078641.0
76,Singapore,61764.0,3.4,3814791696.0
77,Bosnia and Herzegovina,5113.0,3.4,26142769.0
78,Honduras,2582.0,3.4,6666724.0
79,Poland,13756.0,3.4,189227536.0
80,Serbia,4985.0,3.3,24850225.0
81,Namibia,5252.0,3.3,27583504.0
82,Trinidad and Tobago,16526.0,3.0,273108676.0
83,Guatemala,4406.0,2.9,19412836.0
84,Nicaragua,2267.0,2.9,5139289.0
85,Czech Republic,20362.0,2.9,414611044.0
86,Senegal,1402.0,2.9,1965604.0
87,South Africa,6322.0,2.8,39967684.0
88,China,8812.0,2.8,77651344.0
89,Barbados,17528.0,2.7,307230784.0
90,Colombia,6467.0,2.7,41822089.0
91,Mexico,9196.0,2.7,84566416.0
92,Algeria,4198.0,2.7,17623204.0
93,Guyana,4623.0,2.6,21372129.0
94,Jamaica,5155.0,2.6,26574025.0
95,Peru,6725.0,2.6,45225625.0
96,El Salvador,3957.0,2.5,15657849.0
97,Portugal,21248.0,2.5,451477504.0
98,Morocco,3152.0,2.4,9935104.0
99,Italy,32969.0,2.4,1086954961.0
100,Ecuador,6460.0,2.4,41731600.0
101,Spain,28289.0,2.3,800267521.0
102,Suriname,5805.0,2.3,33698025.0
103,Tunisia,3530.0,2.2,12460900.0
104,Slovenia,23403.0,2.2,547700409.0
105,Oman,16810.0,2.1,282576100.0
106,Sri Lanka,4221.0,2.1,17816841.0
107,Iceland,74207.0,2.1,5506678849.0
108,United Kingdom,40770.0,2.1,1662192900.0
109,Panama,15676.0,2.1,245736976.0
110,Germany,44865.0,2.0,2012868225.0
111,Belgium,44630.0,2.0,1991836900.0
112,France,40262.0,2.0,1621028644.0
113,Saudi Arabia,21820.0,1.9,476112400.0
114,Bahrain,25819.0,1.9,666620761.0
115,Norway,76614.0,1.8,5869704996.0
116,Jordan,4445.0,1.8,19758025.0
117,Brazil,10016.0,1.8,100320256.0
118,Netherlands,49231.0,1.8,2423691361.0
119,Austria,48199.0,1.7,2323143601.0
120,Lebanon,9082.0,1.7,82482724.0
121,Switzerland,81725.0,1.7,6678975625.0
122,Ireland,71418.0,1.7,5100530724.0
123,United Arab Emirates,42124.0,1.7,1774431376.0
124,Finland,46538.0,1.7,2165785444.0
125,Denmark,57904.0,1.6,3352873216.0
126,Paraguay,5876.0,1.6,34527376.0
127,Sweden,55410.0,1.6,3070268100.0
128,Qatar,67256.0,1.5,4523369536.0
129,Luxembourg,113196.0,1.5,12813334416.0
130,Kuwait,30667.0,1.5,940464889.0
131,Argentina,14803.0,1.3,219128809.0
132,United States,60905.0,1.3,3709419025.0
133,Costa Rica,12163.0,1.3,147938569.0
134,Uruguay,17346.0,1.0,300883716.0
135,Mauritius,10532.0,1.0,110923024.0
136,Chile,15597.0,0.8,243266409.0
137,Australia,55888.0,0.6,3123468544.0
138,New Zealand,44511.0,0.6,1981229121.0
139,Canada,45894.0,0.5,2106259236.0
140,Japan,38030.0,0.3,1446280900.0
