,country,total_population,Region,victims_per_1000_population,Est. number of people in modern slavery,factor_one_governance_issues,Factor Two Nourishment and Access,factor_three_inequality,Factor Four Disenfranchised Groups,factor_five_effects_of_conflict,"Final overall (normalised, weighted) vulnerability score",Support survivors,%,criminal_justice,%.1,Coordination,%.2,NEG Government  complicity (1.4.3),NEG State-imposed forced labour (1.8.1),Address risk,%.3,Supply chains,%.4,SUM/104,SUM Neg,TOTAL,Credit rating,education_access_score,hdi_rank,gdp_per_capita,gdp_per_capita2
0,Burundi,10199000.0,Africa,40.0,408000.0,72.4,42.6,42.1,48.1,41.7,72.9,2.0,22.2,0.7,11.1,0.5,12.5,-1.0,-1.0,1.8,26.2,0.0,0.0,5.0,-2.0,10.7,C,0.370088889,180.0,311.0,96721.0
1,Central African Republic,4546000.0,Africa,22.3,101000.0,85.4,50.2,62.7,58.0,81.6,100.0,-0.3,-3.7,0.0,0.6,0.5,12.5,-1.0,0.0,1.5,21.4,0.0,0.0,1.7,-1.0,2.5,D,0.317866667,185.0,456.0,207936.0
2,Mauritania,4182000.0,Africa,21.4,90000.0,67.3,33.7,39.3,50.5,22.3,62.0,0.6,6.5,1.5,25.0,0.8,18.8,-1.0,0.0,2.5,35.7,0.0,0.0,5.3,-1.0,15.5,C,0.352277778,161.0,1616.0,2611456.0
3,Pakistan,189381000.0,Asia and the Pacific,16.8,3186000.0,56.8,36.2,45.9,55.3,92.8,74.1,1.9,21.5,0.9,15.6,0.5,12.5,-1.0,0.0,2.8,40.5,0.0,0.0,6.2,-1.0,18.6,C,0.371667343,146.0,1608.0,2585664.0
4,Cambodia,15518000.0,Asia and the Pacific,16.8,261000.0,66.3,38.5,41.6,56.7,14.8,63.5,3.6,40.4,2.8,46.7,1.8,43.8,0.0,0.0,2.3,33.3,0.0,0.0,10.5,0.0,37.6,CCC,0.495177778,136.0,1429.0,2042041.0
5,Mongolia,2977000.0,Asia and the Pacific,12.3,37000.0,40.9,36.8,35.1,47.1,18.1,43.5,2.5,27.8,2.0,33.3,1.3,31.3,0.0,-1.0,3.8,54.8,0.0,0.0,9.6,-1.0,30.7,CCC,0.693666667,103.0,3838.0,14730244.0
6,Sudan,38648000.0,Africa,12.0,465000.0,80.7,46.6,42.4,37.0,87.4,87.1,0.3,2.8,1.6,26.7,1.0,25.0,-1.0,0.0,2.3,33.3,0.0,0.0,5.2,-1.0,14.9,C,0.305955556,166.0,1174.0,1378276.0
7,Chad,14009000.0,Africa,12.0,168000.0,71.8,43.2,48.5,46.5,46.1,74.9,1.5,16.7,0.8,13.9,0.5,12.5,-1.0,0.0,2.8,40.5,0.0,0.0,5.7,-1.0,16.7,C,0.255851922,184.0,714.0,509796.0
8,Rwanda,11630000.0,Africa,11.6,134000.0,56.6,40.8,40.0,55.7,34.0,61.7,3.3,36.9,2.5,41.7,1.8,43.8,-1.0,-1.0,3.8,54.8,0.0,0.0,11.4,-2.0,33.6,CCC,0.478166667,151.0,796.0,633616.0
9,Turkmenistan,5565000.0,Europe and Central Asia,11.2,62000.0,80.2,21.5,31.4,32.6,15.9,58.1,1.6,17.8,2.4,40.0,1.3,31.3,-1.0,-1.0,4.3,61.9,0.0,0.0,9.6,-2.0,27.1,CC,0.678712889,103.0,6815.0,46444225.0
10,Myanmar,52404000.0,Asia and the Pacific,11.0,575000.0,58.1,43.8,26.1,46.0,70.2,65.9,5.2,58.0,1.1,18.3,1.8,43.8,-1.0,-1.0,3.0,42.9,0.0,0.0,11.1,-2.0,32.4,CCC,0.370555556,150.0,1316.0,1731856.0
11,Brunei Darussalam,418000.0,Asia and the Pacific,10.9,5000.0,53.5,30.9,31.7,41.2,18.2,47.2,1.6,17.8,1.2,19.4,0.0,0.0,0.0,0.0,3.0,42.9,0.0,0.0,5.8,0.0,20.6,CC,0.692111111,30.0,29015.0,841870225.0
12,Belarus,9486000.0,Europe and Central Asia,10.9,103000.0,64.9,16.7,23.9,39.4,20.8,47.3,4.4,48.9,1.7,27.8,1.5,37.5,0.0,-1.0,4.7,66.7,0.0,0.0,12.2,-1.0,40.1,B,0.819984164,53.0,5769.0,33281361.0
13,Papua New Guinea,7920000.0,Asia and the Pacific,10.3,81000.0,64.8,63.3,46.2,9.5,13.3,61.9,2.4,26.5,1.8,30.6,0.3,6.3,-1.0,0.0,1.8,26.2,0.0,0.0,6.3,-1.0,18.9,C,0.376311111,157.0,2872.0,8248384.0
14,Thailand,68658000.0,Asia and the Pacific,8.9,610000.0,50.9,21.8,35.3,45.1,51.9,51.1,4.2,46.3,3.1,51.7,2.3,56.3,-1.0,0.0,5.2,73.8,0.0,0.0,14.7,-1.0,48.9,B,0.607965284,89.0,6646.0,44169316.0
15,Greece,11218000.0,Europe and Central Asia,7.9,89000.0,38.5,14.4,36.4,56.0,23.6,37.1,6.2,68.5,4.0,66.1,1.8,43.8,0.0,0.0,3.2,45.2,0.4,18.3,15.4,0.0,55.1,BB,0.796988551,29.0,18148.0,329349904.0
16,Guinea,12092000.0,Africa,7.8,94000.0,68.3,32.4,54.7,46.4,28.6,66.3,0.8,8.7,0.6,10.6,1.5,37.5,-1.0,0.0,3.5,50.0,0.0,0.0,6.4,-1.0,19.3,C,0.294444733,179.0,855.0,731025.0
17,Libya,6235000.0,Africa,7.7,48000.0,81.4,23.0,49.6,28.1,63.1,73.1,0.0,0.0,1.3,21.7,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,1.3,-2.0,-2.5,D,0.697888889,55.0,6076.0,36917776.0
18,Philippines,101716000.0,Asia and the Pacific,7.7,784000.0,50.5,35.3,45.7,36.4,69.3,60.2,4.6,51.5,4.2,69.4,2.0,50.0,0.0,0.0,4.8,69.0,0.0,0.0,15.6,0.0,55.8,BB,0.609984056,117.0,3229.0,10426441.0
19,Timor-Leste,1241000.0,Asia and the Pacific,7.7,10000.0,58.4,41.9,37.2,41.2,3.9,52.8,3.0,33.1,1.0,16.7,1.0,25.0,0.0,0.0,3.0,42.9,0.0,0.0,8.0,0.0,28.5,CC,0.472406667,128.0,1297.0,1682209.0
20,Nigeria,181182000.0,Africa,7.7,1386000.0,54.1,41.3,50.2,47.1,95.5,74.1,5.3,58.9,3.2,53.3,2.0,50.0,-1.0,0.0,3.3,47.6,0.0,0.0,13.8,-1.0,45.8,B,0.42486,152.0,2074.0,4301476.0
21,Uganda,40145000.0,Africa,7.6,304000.0,52.8,48.3,38.2,50.3,35.3,60.8,4.3,48.1,3.1,51.7,1.5,37.5,-1.0,0.0,3.8,54.8,0.0,0.0,12.8,-1.0,42.0,B,0.478643671,164.0,766.0,586756.0
22,Madagascar,24234000.0,Africa,7.5,182000.0,54.4,46.8,51.0,56.8,17.3,62.0,3.5,38.7,3.2,52.8,0.8,18.8,-1.0,-1.0,3.5,50.0,0.0,0.0,10.9,-2.0,31.8,CCC,0.458425611,155.0,544.0,295936.0
23,Malawi,17574000.0,Africa,7.5,131000.0,55.4,51.5,40.9,61.5,19.1,63.4,3.0,33.1,1.4,23.9,1.8,43.8,-1.0,0.0,2.3,33.3,0.0,0.0,8.5,-1.0,26.8,CC,0.439666667,174.0,359.0,128881.0
24,Guinea-Bissau,1771000.0,Africa,7.5,13000.0,77.8,40.1,47.6,44.1,17.1,70.5,0.7,7.4,1.9,31.1,1.3,31.3,0.0,0.0,1.5,21.4,0.0,0.0,5.3,0.0,18.9,C,0.325333333,177.0,760.0,577600.0
25,Liberia,4500000.0,Africa,7.4,33000.0,55.0,44.0,44.1,54.9,18.2,59.3,2.5,28.0,1.6,26.7,1.3,31.3,0.0,0.0,3.5,50.0,0.0,0.0,8.9,0.0,31.7,CCC,0.367244444,175.0,730.0,532900.0
