,Country ,population,Region,"est victims per 1,000",est slavery population,TOTAL,Credit rating
0,,"25,244,000",Asia and the Pacific,104.6,"2,640,000",,D
1,,"4,847,000",Africa,93.0,"451,000",,D
2,,"10,199,000",Africa,40.0,"408,000",,C
3,,"4,546,000",Africa,22.3,"101,000",,D
5,,"4,182,000",Africa,21.4,"90,000",,C
7,,"189,381,000",Asia and the Pacific,16.8,"3,186,000",,C
8,,"15,518,000",Asia and the Pacific,16.8,"261,000",,CCC
9,,"79,360,000",Asia and the Pacific,16.2,"1,289,000",,D
10,,"13,908,000",Africa,15.5,"216,000",,C
11,,"76,197,000",Africa,13.7,"1,045,000",,C
12,,"2,977,000",Asia and the Pacific,12.3,"37,000",,CCC
13,,"38,648,000",Africa,12.0,"465,000",,C
14,,"14,009,000",Africa,12.0,"168,000",,C
15,,"11,630,000",Africa,11.6,"134,000",,CCC
16,,"5,565,000",Europe and Central Asia,11.2,"62,000",,CC
17,,"52,404,000",Asia and the Pacific,11.0,"575,000",,CCC
18,,"418,000",Asia and the Pacific,10.9,"5,000",,CC
19,,"9,486,000",Europe and Central Asia,10.9,"103,000",,B
20,,"7,920,000",Asia and the Pacific,10.3,"81,000",,C
21,,"6,664,000",Asia and the Pacific,9.4,"62,000",,CCC
22,,"68,658,000",Asia and the Pacific,8.9,"610,000",,B
23,,"1,319,000",Africa,8.8,"12,000",,CC
24,,"2,079,000",Europe and Central Asia,8.7,"18,000",,BBB
25,,"4,996,000",Africa,8.0,"40,000",,C
26,,"11,218,000",Europe and Central Asia,7.9,"89,000",,BB
27,,"12,092,000",Africa,7.8,"94,000",,C
28,,"6,235,000",Africa,7.7,"48,000",,D
29,,"101,716,000",Asia and the Pacific,7.7,"784,000",,BB
30,,"1,241,000",Asia and the Pacific,7.7,"10,000",,CC
31,,"181,182,000",Africa,7.7,"1,386,000",,B
32,,"40,145,000",Africa,7.6,"304,000",,B
33,,"24,234,000",Africa,7.5,"182,000",,CCC
34,,"17,574,000",Africa,7.5,"131,000",,CC
35,,"1,771,000",Africa,7.5,"13,000",,C
36,,"4,500,000",Africa,7.4,"33,000",,CCC
38,,"27,859,000",Africa,7.2,"199,000",,CC
39,,"927,000",Africa,7.1,"7,000",,CCC
40,,"47,236,000",Africa,6.9,"328,000",,CCC
41,,"30,723,000",Asia and the Pacific,6.9,"212,000",,CCC
42,,"2,923,000",Europe and Central Asia,6.9,"20,000",,BB
43,,"22,835,000",Africa,6.9,"157,000",,CC
44,,"7,417,000",Africa,6.8,"50,000",,CC
45,,"19,897,000",Africa,6.7,"133,000",,CC
46,,"15,777,000",Africa,6.7,"105,000",,C
47,,"78,271,000",Europe and Central Asia,6.5,"509,000",,B
48,,"44,658,000",Europe and Central Asia,6.4,"286,000",,BB
49,,"1,175,000",Africa,6.4,"7,000",,D
50,,"53,880,000",Africa,6.2,"336,000",,CCC
51,,"99,873,000",Africa,6.1,"614,000",,CCC
52,,"1,309,054,000",Asia and the Pacific,6.1,"7,989,000",,B
53,,"4,236,000",Europe and Central Asia,6.0,"25,000",,BBB
54,,"28,656,000",Asia and the Pacific,6.0,"171,000",,CCC
55,,"23,108,000",Africa,5.9,"137,000",,B
56,,"628,000",Europe and Central Asia,5.9,"4,000",,BBB
57,,"1,978,000",Africa,5.8,"11,000",,CCC
58,,"2,932,000",Europe and Central Asia,5.8,"17,000",,BB
59,,"16,101,000",Africa,5.7,"92,000",,CCC
60,,"31,155,000",Americas,5.6,"174,000",,CC
61,,"10,711,000",Americas,5.6,"59,000",,CCC
62,,"93,778,000",Africa,5.5,"518,000",,B
63,,"143,888,000",Europe and Central Asia,5.5,"794,000",,CC
64,,"4,066,000",Europe and Central Asia,5.5,"22,000",,BB
65,,"10,576,000",Africa,5.5,"58,000",,CCC
66,,"28,011,000",Africa,5.4,"152,000",,B
67,,"2,917,000",Europe and Central Asia,5.3,"16,000",,BB
68,,"30,976,000",Europe and Central Asia,5.2,"160,000",,CCC
69,,"7,237,000",Africa,5.0,"36,000",,B
70,,"27,583,000",Africa,4.8,"133,000",,CC
72,,"1,930,000",Africa,4.8,"9,000",,CC
73,,"258,162,000",Asia and the Pacific,4.7,"1,220,000",,BB
74,,"8,549,000",Europe and Central Asia,4.5,"39,000",,CCC
75,,"18,111,000",Africa,4.5,"82,000",,CCC
76,,"93,572,000",Asia and the Pacific,4.5,"421,000",,B
77,,"7,177,000",Europe and Central Asia,4.5,"32,000",,BB
78,,"9,617,000",Europe and Central Asia,4.5,"43,000",,B
79,,"3,952,000",Europe and Central Asia,4.3,"17,000",,BBB
80,,"19,877,000",Europe and Central Asia,4.3,"86,000",,B
81,,"1,161,000",Europe and Central Asia,4.2,"5,000",,BBB
82,,"17,750,000",Europe and Central Asia,4.2,"75,000",,CCC
83,,"2,175,000",Africa,4.2,"9,000",,CCC
84,,"5,865,000",Europe and Central Asia,4.1,"24,000",,B
85,,"533,000",Africa,4.1,"2,000",,CC
86,,"10,528,000",Americas,4.0,"42,000",,BB
87,,"1,905,000",Europe and Central Asia,4.0,"8,000",,BB
88,,"1,993,000",Europe and Central Asia,3.9,"8,000",,BBB
89,,"8,065,000",Europe and Central Asia,3.9,"31,000",,BB
90,,"11,461,000",Americas,3.8,"43,000",,CC
91,,"161,201,000",Asia and the Pacific,3.7,"592,000",,B
92,,"9,784,000",Europe and Central Asia,3.7,"36,000",,BB
93,,"1,315,000",Europe and Central Asia,3.6,"5,000",,B
94,,"17,468,000",Africa,3.6,"62,000",,CCC
95,,"2,209,000",Africa,3.4,"8,000",,CCC
96,,"5,535,000",Asia and the Pacific,3.4,"19,000",,CCC
97,,"3,536,000",Europe and Central Asia,3.4,"12,000",,B
98,,"8,961,000",Americas,3.4,"30,000",,CCC
99,,"38,265,000",Europe and Central Asia,3.4,"128,000",,BB
100,,"8,851,000",Europe and Central Asia,3.3,"30,000",,BBB
101,,"2,426,000",Africa,3.3,"8,000",,CCC
103,,"1,360,000",Americas,3.0,"4,000",,B
104,,"5,439,000",Europe and Central Asia,2.9,"16,000",,BB
105,,"16,252,000",Americas,2.9,"47,000",,B
106,,"6,082,000",Americas,2.9,"18,000",,B
107,,"10,604,000",Europe and Central Asia,2.9,"31,000",,BB
108,,"14,977,000",Africa,2.9,"43,000",,B
109,,"55,291,000",Africa,2.8,"155,000",,B
110,,"1,397,029,000",Asia and the Pacific,2.8,"3,864,000",,CC
111,,"284,000",Americas,2.7,"<1,000",,CCC
112,,"48,229,000",Americas,2.7,"131,000",,B
113,,"125,891,000",Americas,2.7,"341,000",,BB
114,,"39,872,000",Africa,2.7,"106,000",,CCC
115,,"769,000",Americas,2.6,"2,000",,CCC
116,,"2,872,000",Americas,2.6,"7,000",,BB
117,,"31,377,000",Americas,2.6,"80,000",,BB
118,,"6,312,000",Americas,2.5,"16,000",,CCC
119,,"10,418,000",Europe and Central Asia,2.5,"26,000",,BBB
120,,"34,803,000",Africa,2.4,"85,000",,CCC
121,,"59,504,000",Europe and Central Asia,2.4,"145,000",,BBB
122,,"16,144,000",Americas,2.4,"39,000",,B
123,,"46,398,000",Europe and Central Asia,2.3,"105,000",,BBB
124,,"553,000",Americas,2.3,"1,000",,CC
125,,"11,274,000",Africa,2.2,"25,000",,B
126,,"2,075,000",Europe and Central Asia,2.2,"5,000",,BB
127,,"4,200,000",Arab States,2.1,"9,000",,CCC
128,,"10,725,000",Americas,2.1,"23,000",,B
129,,"20,714,000",Asia and the Pacific,2.1,"44,000",,CCC
130,,"330,000",Europe and Central Asia,2.1,"<1,000",,B
131,,"65,397,000",Europe and Central Asia,2.1,"136,000",,BBB*
132,,"3,969,000",Americas,2.1,"8,000",,B
133,,"81,708,000",Europe and Central Asia,2.0,"167,000",,BB
134,,"11,288,000",Europe and Central Asia,2.0,"23,000",,BBB
135,,"64,457,000",Europe and Central Asia,2.0,"129,000",,BBB
136,,"50,594,000",Asia and the Pacific,1.9,"99,000",,CC
137,,"31,557,000",Arab States,1.9,"61,000",,CC
138,,"1,372,000",Arab States,1.9,"3,000",,CCC
139,,"5,200,000",Europe and Central Asia,1.8,"9,000",,BBB
140,,"9,159,000",Arab States,1.8,"17,000",,CCC
141,,"205,962,000",Americas,1.8,"369,000",,BB
142,,"16,938,000",Europe and Central Asia,1.8,"30,000",,A
143,,"8,679,000",Europe and Central Asia,1.7,"15,000",,BBB
144,,"5,851,000",Arab States,1.7,"10,000",,CCC
145,,"8,320,000",Europe and Central Asia,1.7,"14,000",,BBB
146,,"4,700,000",Europe and Central Asia,1.7,"8,000",,BB
147,,"9,154,000",Arab States,1.7,"15,000",,B
148,,"5,482,000",Europe and Central Asia,1.7,"9,000",,BB
149,,"5,689,000",Europe and Central Asia,1.6,"9,000",,BB
150,,"6,639,000",Americas,1.6,"11,000",,B
151,,"9,764,000",Europe and Central Asia,1.6,"15,000",,BBB
152,,"2,482,000",Arab States,1.5,"4,000",,CCC
153,,"567,000",Europe and Central Asia,1.5,"<1,000",,B
154,,"3,936,000",Arab States,1.5,"6,000",,CC
155,,"7,246,000",Asia and the Pacific,1.4,"10,000",,CC
156,,"43,418,000",Americas,1.3,"55,000",,BBB
157,,"319,929,000",Americas,1.3,"403,000",,BBB*
158,,"4,808,000",Americas,1.3,"6,000",,BB
159,,"3,432,000",Americas,1.0,"4,000",,BB
160,,"1,259,000",Africa,1.0,"1,000",,CCC
161,,"17,763,000",Americas,0.8,"14,000",,BBB
162,,"23,800,000",Asia and the Pacific,0.6,"15,000",,BBB
163,,"4,615,000",Asia and the Pacific,0.6,"3,000",,BB
164,,"23,486,000",Asia and the Pacific,0.5,"12,000",,CCC
165,,"35,950,000",Americas,0.5,"17,000",,BB
166,,"127,975,000",Asia and the Pacific,0.3,"37,000",,CCC
